ma,year,MAR,NI,DR_SYNCH,MCAP,LEV,M/B,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
AAA,2016,0.179489555,0.234745861,8,28.30666199,0.689775427,2.058431797,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2017,-0.058627818,0.134007758,8,27.83033074,0.64490505,0.751127472,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2018,-0.134758323,0.173812769,8,28.34263656,0.604172645,0.683593528,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2019,-0.280546402,0.24102179,8,28.60370716,0.592456103,0.812548721,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2020,-0.113505057,0.107058045,10,28.99276034,0.53042737,0.969933388,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2021,0.162637951,0.083050137,9,28.47440287,0.455080951,0.426118619,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AAA,2022,-0.3234386,0.050465004,10,29.01121057,0.428373373,0.6442287,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AAA,2023,-0.152987089,0.077771892,9,28.97198986,0.48513843,0.640983851,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AAM,2016,-0.20161906,0.015189272,1,25.57233848,0.050116963,0.520951954,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2017,-0.260611047,0.008866795,1,25.82475242,0.04215124,0.681722956,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2018,0.528205833,0.058388411,1,25.57662758,0.07949234,0.605494686,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2019,-0.001394521,0.06482621,2,25.69622009,0.070733977,0.683266202,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2020,-0.342850577,-0.082845949,2,25.75432772,0.079301496,0.788741492,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2021,0.003697535,0.001473007,4,25.70473078,0.033622267,0.74970556,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AAM,2022,0.028062273,0.115999645,7,25.67462098,0.04137291,0.674663177,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AAM,2023,-0.229879492,0.004973975,5,25.30095915,0.048020639,0.480121128,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AAT,2021,0.040479947,0.05978185,7,26.49843061,0.315248502,0.481800183,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AAT,2022,-0.49875494,0.276314987,8,26.50238318,0.312037706,0.45554028,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AAT,2023,0.018934644,0.052979816,9,26.24752134,0.300314059,0.354285106,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AAV,2018,-0.295795624,0.309607412,5,25.55207917,0.490684564,0.629369345,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2019,-0.01205063,0.246311957,1,26.75003707,0.366278433,1.110644089,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2020,0.919803021,0.034708397,8,27.24379479,0.354979435,1.752202528,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2021,0.053369725,0.044442486,7,26.40441814,0.186696007,0.363527722,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AAV,2022,-0.415456254,0.011989813,10,26.31817005,0.250581626,0.332542142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AAV,2023,-0.115061835,-0.064404202,9,26.26552632,0.150531195,0.327291721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ABR,2018,-0.467675425,0.097550203,4,24.59446685,0.074362849,1.440862514,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABR,2019,1.497868319,0.17496679,3,26.92984176,0.180788177,2.342807693,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ABR,2020,-0.415959386,0.049856122,6,26.73453301,0.162873558,1.725593266,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
