ma,year,BIG4,LEV,M/B,SALES,SHRINC,LOSS,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
AAA,2016,1,0.689775427,2.058431797,2.14377E+12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2017,1,0.64490505,0.751127472,4.06961E+12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2018,1,0.604172645,0.683593528,8.01157E+12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2019,1,0.592456103,0.812548721,9.25807E+12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2020,1,0.53042737,0.969933388,7.42856E+12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2021,1,0.455080951,0.426118619,1.31431E+13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AAA,2022,1,0.428373373,0.6442287,1.52903E+13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AAA,2023,1,0.48513843,0.640983851,1.26215E+13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AAM,2016,0,0.050116963,0.520951954,2.74778E+11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2017,0,0.04215124,0.681722956,2.24189E+11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2018,0,0.07949234,0.605494686,2.18264E+11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2019,0,0.070733977,0.683266202,2.16122E+11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2020,0,0.079301496,0.788741492,1.20887E+11,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2021,0,0.033622267,0.74970556,1.3411E+11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AAM,2022,0,0.04137291,0.674663177,2.12008E+11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AAM,2023,0,0.048020639,0.480121128,1.36763E+11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AAT,2021,0,0.315248502,0.481800183,4.73175E+11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AAT,2022,0,0.312037706,0.45554028,9.61626E+11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AAT,2023,0,0.300314059,0.354285106,5.99355E+11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
AAV,2018,0,0.490684564,0.629369345,4.69406E+11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2019,0,0.366278433,1.110644089,5.47472E+11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2020,0,0.354979435,1.752202528,3.23657E+11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAV,2021,0,0.186696007,0.363527722,5.00844E+11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AAV,2022,0,0.250581626,0.332542142,4.96456E+11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AAV,2023,0,0.150531195,0.327291721,73112403857,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ABR,2018,0,0.074362849,1.440862514,21250147000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABR,2019,0,0.180788177,2.342807693,27047585936,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ABR,2020,0,0.162873558,1.725593266,98258258741,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ABR,2021,0,0.181590517,0.641213201,91154043167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ABR,2022,0,0.233828166,0.62421992,1.04179E+11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ABR,2023,0,0.176897884,0.816098482,53676044563,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ABS,2020,0,0.627990911,1.918069184,1.10396E+12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
ABS,2021,0,0.41843554,0.477545371,1.19865E+12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
ABS,2022,0,0.457442109,0.528224095,1.60534E+12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
