ma,year,R_squared,SYNCH,BIG4,VOL,SIZE,LEV,S_ROA,M/B,INDN,INDS,Lamda,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
AAA,2016,0.233655976,-1.187781339,1,2.031501394,12.48821443,0.689775427,0.025212898,2.058431797,2.48490665,30.44471429,0.624549035,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2018,0.264785341,-1.021243045,1,2.101032878,12.87674691,0.604172645,0.018931731,0.683593528,2.772588722,32.28394154,0.532526731,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2020,0.512571804,0.050297818,1,2.661022752,12.93295115,0.53042737,0.017219492,0.969933388,2.833213344,32.3563235,0.572434678,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2023,0.379451276,-0.491877926,1,2.940661524,13.06383776,0.48513843,0.017073033,0.640983851,2.833213344,32.37123061,0.472683307,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AAA,2019,0.233342689,-1.189531771,1,3.68939748,12.90240838,0.592456103,0.018277588,0.812548721,2.833213344,32.32161829,0.532147519,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2022,0.649056474,0.614894415,1,3.937791392,13.03325615,0.428373373,0.017752992,0.6442287,2.833213344,32.39439796,0.430306164,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AAA,2021,0.451839638,-0.193240543,1,3.965680122,13.00041354,0.455080951,0.016313151,0.426118619,2.833213344,32.37769818,0.465202098,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AAA,2017,0.248377355,-1.107285213,1,4.594364721,12.66050093,0.64490505,0.021187207,0.751127472,2.708050201,30.69981086,0.624357584,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AAM,2020,0.010219306,-4.573204729,0,0.040026482,11.32391029,0.079301496,0.033875921,0.788741492,2.772588722,32.19421151,0.710035222,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2016,0.007319031,-4.909931422,0,0.080719299,11.41145769,0.050116963,0.001812591,0.520951954,2.708050201,32.04885343,0.656958002,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AAM,2017,0.007632488,-4.86767966,0,0.094655118,11.40064261,0.04215124,0.001837966,0.681722956,2.772588722,32.11045936,0.677326541,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
